"id","area","feature","user_story","expected_behavior","code_evidence","docs_evidence","test_layer","feature_status","test_status","next_verification","defects","notes"
"US-011","Agent lifecycle","Pause, resume, clear, and delete agents","As an operator, I want lifecycle controls for each agent so that I can stop cost, recover stuck sessions, clear stale state, and remove agents.","Pause should mark agents off, resume should restore, clear should reset session output/state, and delete should confirm before kill and remove selection/off-state references.","src/views/App.tsx; src/components/AgentContextMenu.tsx; src-tauri/src/commands/agent.rs; src-tauri/src/manager/mod.rs","docs/guide/grid.md; docs/guide/watchlists.md; docs/guide/first-run-troubleshooting.md","unit+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun npm run test -- src/views/App.test.tsx and relevant native lifecycle tests before PR or after lifecycle control changes.","Resolved coverage gap: added App-level delete confirmation test proving Cancel blocks kill_agent and Confirm permits it.","Verified pause/resume off-state behavior, delete confirmation gating, and lifecycle state removal in focused App tests."
"US-012","Agent lifecycle","Rename agent","As a user, I want to rename an agent with a safe identifier so that roster and terminal labels are meaningful.","Rename should reject blank names and names outside alphanumeric, underscore, and hyphen characters, then persist through backend rename and local state update.","src/views/App.tsx; src/layout/watchlist/AgentWatchlist.tsx; src-tauri/src/commands/agent.rs","docs/guide/watchlists.md; docs/guide/ui-overview.md","unit","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by the focused App/UI refresh: npm run test -- src/views/App.test.tsx plus related UI targets (16 files, 289 tests). Current App path uses alert for invalid names."
"US-013","Agent lifecycle","Clone agent","As a user, I want to clone an existing agent as Fresh, Profile, Resume, or Custom so that useful setup can be reused without manual recreation.","Clone actions should support quick modes and a custom modal with name/provider/class/workspace plus optional files/skills, then refresh agents and watchlists.","src/views/App.tsx; src/features/agents/CustomCloneModal.tsx; src-tauri/src/commands/agent.rs; src-tauri/src/manager/spawn.rs","docs/guide/ui-overview.md; docs/guide/watchlists.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun npm run test -- src/views/App.test.tsx src/features/agents/CustomCloneModal.test.tsx and related native clone tests before PR or after clone changes.","No defects recorded in current audit.","Verified quick clone, custom clone modal opening, backend-owned team placement reload, and clone preview behavior in focused App and clone modal tests."
"US-014","Agent lifecycle","Generated names for blank spawn requests","As a user, I want blank agent names to become readable class-based names where supported so that quick spawning is low friction.","Native spawn should generate class-derived names and normalize workspace paths when the request allows blank names.","src-tauri/src/manager/spawn.rs; src-tauri/src/commands/agent.rs","docs/guide/cli.md; docs/guide/getting-started.md","native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Native generated-name smoke passed. Command evidence: npm run test:e2e:native:fast -- e2e-native/tests/spawn-generated-name-native.test.mjs."
"US-015","Dashboard","Agent telemetry dashboard","As an operator, I want a summary dashboard with live status, telemetry, workspace, and quick actions so that I can scan the fleet without reading terminals.","Dashboard should omit off agents, show derived statuses and metrics, route card/control callbacks, and run canned query actions.","src/views/DashboardView.tsx; src/views/App.tsx; src/utils/statusUtils.ts; crates/wardian-core/src/models/agent_telemetry.rs; crates/wardian-core/src/models/app_telemetry.rs","docs/guide/dashboard.md; docs/features.md","unit","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by DashboardView and focused UI refresh tests (16 files, 289 tests). Dashboard is summary/control, not a terminal replacement. Core telemetry DTOs are explicitly tracked as part of dashboard telemetry behavior. Command evidence: npm run test -- src/views/DashboardView.test.tsx src/views/App.test.tsx."
"US-016","Watchlists","Right roster monitoring","As an operator, I want a right-side roster with status lights, search, thoughts, and selection so that I can jump to and manage agents quickly.","Roster should render agents, support collapse/expand, search, selection sync, active list filtering, status indicators, and context actions.","src/layout/watchlist/AgentWatchlist.tsx; src/layout/watchlist/watchlistUtils.ts; src/views/App.tsx; src/layout/watchlist/ColumnPicker.tsx; src/layout/watchlist/types.ts; src/components/SidebarResizeHandle.tsx","docs/guide/watchlists.md; docs/guide/ui-overview.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes. Also rerun npm run test -- src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts src/components/SidebarResizeHandle.test.tsx.","No defects recorded in current audit.","Status colors follow project semantic theming. Roster evidence now includes optional column selection, typed watchlist display models, and right-sidebar resizing. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/ContextMenu.test.tsx src/components/ListEditor.test.tsx src/components/SidebarResizeHandle.test.tsx src/components/AdvancedSettings.test.tsx src/components/OnboardingHint.test.tsx src/layout/SidebarContentPane.test.tsx src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts src/views/GridView.test.tsx src/features/grid/AgentChatView.test.tsx src/features/grid/activityBlocks.test.ts src/features/grid/workLogPresentation.test.ts src/features/grid/markdown/ChatMarkdown.test.tsx src/features/workflows/builder/BuilderCanvas.test.tsx src/features/workflows/builder/autoLayout.test.ts src/features/workflows/builder/blueprintGraph.test.ts src/features/workflows/builder/nodeSummary.test.ts src/features/workflows/run/RunList.test.tsx src/features/workflows/run/WorkflowObserveMode.test.tsx src/features/workflows/run/statusColors.test.ts src/features/workflows/run/RunDag.test.tsx src/features/workflows/run/EventTimeline.test.tsx src/features/workflows/run/NodeInspector.test.tsx src/features/workflows/run/replay.test.ts src/features/workflows/run/useRunStore.test.ts src/features/workflows/monitor/ActiveRunsList.test.tsx src/features/workflows/monitor/WorkflowMonitorGlance.test.tsx src/features/workflows/monitor/WorkflowMonitor.test.tsx src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts (27 files, 322 tests)."
"US-017","Watchlists","Custom watchlists","As a user, I want custom watchlists so that I can focus the roster and grid on a subset of agents.","Users should create, rename, reorder, select, add agents to, and remove agents from watchlists, with state persisted to disk.","src/layout/watchlist/AgentWatchlist.tsx; src/layout/watchlist/watchlistUtils.ts; src-tauri/src/commands/watchlist.rs","docs/guide/watchlists.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by AgentWatchlist/ColumnPicker/watchlistUtils tests, browser watchlist smoke, and native CLI shared-state checks. Mutation is UI/backend, CLI team/watchlist mutation is read-only. Command evidence: npm run test -- src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts; npm run test:e2e -- e2e/tests/watchlist.spec.ts; npm run test:e2e:native:fast -- e2e-native/tests/cli-shared-state-native.test.mjs."
"US-018","Watchlists","Teams and grouping","As an operator, I want teams inside watchlists so that related agents can collapse, reorder, and move together.","Teams should support create, rename, collapse/expand, ungroup, add/remove members, and reorder members while preserving normalized watchlist state.","src/layout/watchlist/AgentWatchlist.tsx; src/layout/watchlist/watchlistUtils.ts; src/views/App.tsx","docs/guide/watchlists.md; docs/guide/ui-overview.md","unit","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by focused watchlist/team UI tests, browser watchlist smoke, and cargo test -p wardian-cli --test watchlist_cli. Team send targeting is documented as not implemented."
"US-019","Graph","Agent relationship map","As an operator, I want a graph of agents by teams, workspace, worktree, and activity so that relationships are visible beyond list order.","Graph should render status-colored nodes, relationship lenses, recency signals, camera reset, selection sync, inspector, context menu actions, and empty state.","src/views/GraphView.tsx; src/features/graph/GraphCanvas.tsx; src/features/graph/graphProjection.ts","docs/guide/graph.md; docs/guide/ui-overview.md","unit","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by GraphView and graphProjection tests in the focused UI refresh (16 files, 289 tests). Communication edges are not currently promised in docs. Command evidence: npm run test -- src/views/GraphView.test.tsx src/features/graph/graphProjection.test.ts."
"US-020","Command panel","Broadcast prompt","As a user, I want to broadcast text to selected agents or all agents so that I can coordinate multiple sessions at once.","Broadcast should use selected agents when present, ask confirmation for all-agent sends when no agents are selected, submit through provider input, and clear the composer after success.","src/features/commands/CommandPanel.tsx; src/views/App.tsx; src/utils/terminalInput.ts","docs/guide/command-panel.md; docs/features.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun the concrete verification commands recorded in this row before PR or after related changes.","No defects recorded in current audit.","Verified on 2026-06-23 by CommandPanel tests, browser feature smoke, and critical broadcast confirmation flow (24 passed, 5 native-only skips). Delivery evidence is not provider completion proof. Command evidence: npm run test -- src/features/commands/CommandPanel.test.tsx; npm run test:e2e -- e2e/tests/features.spec.ts e2e/tests/critical-flows.spec.ts."
