"Provider","Area","Function","Mode","Baseline","Latest","Model","CLI version","Revision","Build","Observed date","Case","Acceptance","Evidence","Source"
"pi","Discovery","Direct model access","direct CLI","Pass","Pass","openai-codex/gpt-5.4-mini","0.84.2","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug Wardian.exe and wardian-cli.exe","2026-09-07","catalog-minimal-probe","Selected model answers an authenticated direct probe; no Wardian runtime claim","pi --list-models current catalog entry; openai-codex auth check ready; print probe returned exact marker; pi-models.json records catalog basis","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Discovery","Direct model access","direct CLI","Design skip","Design skip","","","","","","","Selected model answers an authenticated direct probe; no Wardian runtime claim","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Discovery","Interactive model choice","interactive","Untested","Untested","","","","","","","Observed provider model menu requires action; explicit choice preserves the configured model","No qualifying real-provider assertion recorded yet.","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Discovery","Interactive model choice","interactive","Fail","Fail","gpt-5.4-mini","codex-cli 0.153.4","e26a38369efc80ae42b5f234d02c29e046d70b7c","SHA256 fb4d590c87e0a08ecf6af077144cd3e2cbcca1fcd7e7e05eaa6a0e38cbe9c8f2","2026-09-07T19:35:50.478Z","chat/post-turn-rate-limit-model-choice","Observed provider model menu requires action; explicit choice preserves the configured model","The current rate-limit model-choice dialog was treated as input-ready. Multiline input changed the selected model and left a partial draft. A later ordinary startup-choice pass cannot clear this independent scenario.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Discovery","Interactive model choice","interactive","Untested","Untested","","","","","","","Observed provider model menu requires action; explicit choice preserves the configured model","No qualifying real-provider assertion recorded yet.","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Discovery","Interactive model choice","interactive","Untested","Untested","","","","","","","Observed provider model menu requires action; explicit choice preserves the configured model","No qualifying real-provider assertion recorded yet.","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Discovery","Interactive model choice","interactive","Untested","Untested","","","","","","","Observed provider model menu requires action; explicit choice preserves the configured model","No qualifying real-provider assertion recorded yet.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Discovery","Interactive model choice","interactive","Design skip","Design skip","","","","","","","Observed provider model menu requires action; explicit choice preserves the configured model","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Lifecycle","Launch and readiness","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/assistant-authorship","Real CLI reaches its ready composer","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Lifecycle","Launch and readiness","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:11:08.181Z","chat/model-composer-prerequisite","Real CLI reaches its ready composer","Configured-model/composer prerequisite was not established. No prompt was submitted; diagnostic retest required before attributing this setup result to model access or provider delivery.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Lifecycle","Launch and readiness","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/assistant-authorship","Real CLI reaches its ready composer","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Lifecycle","Launch and readiness","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/assistant-authorship","Real CLI reaches its ready composer","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Lifecycle","Launch and readiness","interactive-cli","Pass","Fail","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/assistant-authorship","Real CLI reaches its ready composer","{""reason"":""Native assertion did not pass; inspect the retained private report.""}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Lifecycle","Launch and readiness","interactive","Design skip","Design skip","","","","","","","Real CLI reaches its ready composer","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Short prompt","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/assistant-authorship","Exact assistant response to short prompt","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Short prompt","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","9c7f093aafda1da15e1864934bf9844877784b38","SHA256 954c5b505277c57d9bcacba75e60d7d9314b6c377cbc921da4d5afc229778604","2026-09-07T15:57:33.994Z","chat/assistant-authorship","Exact assistant response to short prompt","Scratch answer prerequisite failed inside the provider Windows sandbox after confirmed model choice and delivery. This does not establish a Wardian short-input, readiness, or completion defect.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Short prompt","interactive-cli","Blocked","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/assistant-authorship","Exact assistant response to short prompt","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Delivery","Short prompt","interactive-cli","Blocked","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/assistant-authorship","Exact assistant response to short prompt","{""provider_log"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Short prompt","interactive-cli","Pass","Fail","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/assistant-authorship","Exact assistant response to short prompt","{""reason"":""Native assertion did not pass; inspect the retained private report.""}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Short prompt","interactive","Design skip","Design skip","","","","","","","Exact assistant response to short prompt","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Multiline prompt","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/multiline-input","Assistant responds to complete multiline input","{""input_characters"":86,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Multiline prompt","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","e26a38369efc80ae42b5f234d02c29e046d70b7c","SHA256 fb4d590c87e0a08ecf6af077144cd3e2cbcca1fcd7e7e05eaa6a0e38cbe9c8f2","2026-09-07T19:35:50.478Z","chat/multiline-input","Assistant responds to complete multiline input","After a completed fresh-session turn, Codex displayed a different model-choice dialog about approaching rate limits. Input entered that dialog, switched the model, and left a truncated draft; Return was withheld and no configured-model multiline turn was accepted. This requires a separate active-menu readiness fix, not another color-reply fix.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Multiline prompt","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/multiline-input","Assistant responds to complete multiline input","{""input_characters"":86,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Delivery","Multiline prompt","interactive-cli","Blocked","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/multiline-input","Assistant responds to complete multiline input","{""input_characters"":86,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Multiline prompt","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/multiline-input","Assistant responds to complete multiline input","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Multiline prompt","interactive","Design skip","Design skip","","","","","","","Assistant responds to complete multiline input","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Trailing newline","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/trailing-newline-input","One complete submission with trailing newline","{""input_characters"":65,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Trailing newline","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug","2026-09-07","mailbox-short; all-cases attempt","One complete submission with trailing newline","provider_turn_start_timeout; provider-side/runtime integration blocker remains unconfirmed as product defect","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Trailing newline","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/trailing-newline-input","One complete submission with trailing newline","{""input_characters"":65,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Delivery","Trailing newline","interactive-cli","Blocked","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/trailing-newline-input","One complete submission with trailing newline","{""input_characters"":64,""native_answer_count"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Delivery","Trailing newline","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/trailing-newline-input","One complete submission with trailing newline","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Delivery","Trailing newline","interactive","Design skip","Design skip","","","","","","","One complete submission with trailing newline","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Delivery","Long pasted prompt","interactive-cli","Blocked","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/long-input","One submission preserves independent beginning, middle, and end labels in the native answer","{""input_characters"":6886,""native_answer_count"":1,""complete_source_labels"":3}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Delivery","Long pasted prompt","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","39d996c896de2e5a4883ff325984889c851348e2","39d996c896de2e5a4883ff325984889c851348e2; debug","2026-09-07","mailbox-short; all-cases attempt","One submission preserves independent beginning, middle, and end labels in the native answer","provider_turn_start_timeout; provider-side/runtime integration blocker remains unconfirmed as product defect","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Delivery","Long pasted prompt","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/long-input","One submission preserves independent beginning, middle, and end labels in the native answer","{""input_characters"":6886,""native_answer_count"":1,""complete_source_labels"":3}","https://github.com/wardian-app/Wardian/issues/1159"
